username,acctdesc,location,following,followers,totaltweets,timestamp,retweetcount,favcount,text
nihsingapore,"Scaling the best of the Nordics in Singapore. For Smart Cities, Nordic Health, Circular Economy, FinTech events signup here: https://t.co/LJ8lSHok46",Singapore,426,254,294,23/11/18 8:03,0,349,"🚀 TEAM NIH #SiliconValley #NewYork #Singapore #HongKong WILL BE HEADING TO @SlushHQ #HELSINKI ON 21 NOV! Register today to learn how we support Nordic tech startups, scaleups and growth companies in various innovation hubs in the US and Asia. #nordicmade 
https://t.co/XtLi0y9ifv"
Yami01001,"Hello everyone, I am from Hong Kong.
I like to play drums and watch anime
but most importantly, I support the #hongkongprotest
#followbackhk",,96,81,171,19/2/15 6:58,0,318,"Its time to go to the street again hong konger.
no matter how hopeless we are, we still need to continue the fight.
We cant just wait and hope the US to help us, we should count on ourselves.
#FreeHongKong 
#StandWithHongKong 
#HKautonomy https://t.co/I7UOq7DYSV"
elena25663495,"Boiling frog in HK, wake up n find myself hiding in the past. Focusing on HK tweets, voice of one of the citizens https://t.co/dq4DLslTgt",,548,348,1236,21/8/19 14:22,680,8163,An RTHK staff union says frontline police officers are deliberately attacking journalists because they're scared of their treatment of protesters being filmed. #HongKong https://t.co/rSzz4BQEsj
snowflakes_0210,19歳、日韩ハーフ、水瓶座です。  英語と中国語もOKですよ。ハーフの人生複雑なんだけどさ、でも一度もぎヴーアプしない fall to rise，live to tell the tale，HEROs ARE BORN IN THE DARKEST TIMES🧐,NYC/Taiwan/Korea/Singapore,688,153,7105,25/3/16 14:35,36,8122,"“#HongKong is NOT a part of China.” - @ladykyliealien 

Similarly, #EastTurkistan, #Tibet, #SouthMongolia, &amp; #Manchuria are NOT parts of China. They are countries that are occupied by #China.

#FreeEastTurkistan
#FreeHongKong
#FreeManchuria
#FreeSouthMongolia
#FreeTibet https://t.co/HuTCYt1EJ3"
simplyfaith626,I have nothing but grace. #followbackhongkong,Hong Kong,1354,809,9700,3/7/19 14:58,9,11797,"If the Chinese government wants to punish people who call for violence or other illegal things in social networks, then all I can say is that the HK police deserve to allow people to defend themselves by force and fight back.
Will I be hunted now abroad by the CCP?

#StandWithHk"
AngelTT2,"틴탑 엔젤만 믿어
ANGEL7기



정용화 기다릴게요 
2019.11.03",HK,391,99,40225,7/9/13 9:25,84,36928,"Early Friday morning, #HongKong public broadcaster RTHK said in a statement it was angry and strongly condemned the police, after officers repeatedly used force against its reporters and staff over the past weeks.

#hongkongprotests https://t.co/QFWVTFnuAo"
Patrick81230595,#FightForFreedom #StandwithHK #FiveDemandsNotOneLess,,171,75,2200,19/8/19 10:56,548,1965,"Senator Hawley: ""We are in for a long struggle with China to defend our economy and our people. We’ve surrendered too much ground already. Now is the time to take a stand, by standing with Hong Kong."" #StandWithHongKong"
Tofu77881,"#followbackhongkong 

香港人 // 日本語/ENG // 絵描き垢 @amireikoko",,274,138,272,15/8/19 1:33,65,439,"Our mobile billboard is also driving round the block outside #BlizzCon2019, and we spotted our first #MeiWithHongKong cosplayer for today! 

Show us your creative 🇭🇰 cosplays! 

#StandWithHK #FreedomHK

Photo credit: u/thejennysaur https://t.co/qciQfrD8Yv"
veroniechan,HongKonger | 20s | 😷I don’t want to live the rest of my life in fear. #科勞手足,Hong Kong,436,340,774,13/3/11 2:45,0,2800,@SenRickScott @JenniferHYChan @DavidAsmanfox @FoxBusiness Thank you so much Senator Scott! Every day our situation get worse. Pls pass #HKHumanRightsandDemocracyAct and #BeWater Act. #StandWithHongKong
simplyfaith626,I have nothing but grace. #followbackhongkong,Hong Kong,1354,809,9700,3/7/19 14:58,163,11797,"Oct 31 Mong Kok, #HongKong. Who suffered from indiscriminating tear gas shots from #HongKongPolice? Child, passerby, elderly. Who’s there to help them? Volunteer first-aider and black-clad young folks whom cops enjoy beating the shit up. #FreeHongKong

Video fm White Night Media https://t.co/GHSlcj7cxS"
FaronUal,I would rather be Ashes than Dust,,73,31,970,18/6/19 12:42,796,942,"this is #Central, this is #hongkong, TODAY. teargas everywhere, no fire, no destruction in central whatsoever tonight. #hongkongpolice #policebrutality, so powerlessness...
-
@SolomonYue @arnohb112 #freedomhk #freehk #hongkong #hongkongprotest #hongkongprotests #standwithhongkong https://t.co/dSESeTGRMe"
liberatehkg,"Freedom, human rights, justice and democracy. Resist Beijing, liberate our world.",,226,1002,7466,13/11/17 16:07,0,4413,"@GordonGChang #CCP will end up in ""crushed bodies and shattered bones"" if universal suffrage is not implemented in #hongkong ASAP."
RoadFromSerfdom,I have nothing to declare except my honesty.,,1094,759,1968,15/3/11 3:35,0,15354,"@IngrahamAngle Little puppet.
#AntiChinazi https://t.co/7JOnRaDTBY"
Melissa43895883,I see hope,Australia,195,167,4768,19/7/19 3:57,9,8044,"#China will “perfect” the way the leader of #HongKong is appointed and replaced, and won’t tolerate separatism or threats to #NationalSecurity there, a senior #Chinese official said on Nov. 1 after a meeting of the top leadership. https://t.co/87aXINp8RY"
waterisourfd,#FollowBackHongKong Hongkonger united 齊上齊落,Hong Kong,1425,987,860,17/8/19 6:57,0,1212,"What makes them remove the flowers everyday? 
#thetruth #831PrinceEdward #HKPoliceTerrorism https://t.co/6nybR1IUNC"
AngelSo43757418,Life has a new meaning. Time to change it.,"Fort Worth-Dallas, Texas",31,2,22,20/10/19 18:53,2605,10,"BREAKING: police fire tear gas in Central at around 10pm, in an attempt to clear revellers and protesters from the business and entertainment district. #HongKong https://t.co/32953dmZ1J"
ZitaLee11q,"123/sabacheung，精神台灣及外國人，本體香港人，Hong Kong，love drawing，Fanart/Political Art/Comic/Manga/Cartoon
*本人作品有部分含有乳包成份，tweet有負能，慎重follow
*政治畫作品幫手retweet，不要把本人作品用作商業用途",通商寬衣、薩格爾王、瘋狂宇宙、冰邦外交,3557,8764,9193,12/2/18 8:10,1371,25738,"A foreign woman was arrested and tied up by HKPolice without legitimate reason. She called for help from the Press and the US Consulate @USAinHKMacau. 
#HongKongProtests #USA #HKPoliceBrutality 
#HKHumanRightsandDemocracyAct 
source 城大編委 https://t.co/yMhWIsM5BN"
linguelingue2,"“I walked through many places, crossed the bridges in many places, saw many times of clouds, drank many kinds of wine, but only loved one person...”",Thailand,5,404,3006,13/2/19 18:18,0,2958,"Active firefighters were suspected of illegal gatherings, mask one's face, assault police, Illegal possession of offensive weapons arrested.

#香港デモ
#香港
#Hongkong https://t.co/7IHdbgFjIV"
LeachimMalachi,"Liberals have gone so far left that I seem extreme right, but honestly I believe were all closer to the center than we think.",,110,15,819,13/6/19 23:55,10,576,"Halloween in NYC - people wear Winnie the Pooh costumes in the parade chanting ‘Free Hong Kong, revolution of our times!’ and holding #StandWithHongKong signs. #China #HongKong #halloween2019 #halloween #HALLOWEENNYC https://t.co/fGv6q4N5wb"
eeeeuniceeee,你咁樣係唔會令我驚架,Hong Kong,9,3,206,24/4/14 14:10,1371,207,"A foreign woman was arrested and tied up by HKPolice without legitimate reason. She called for help from the Press and the US Consulate @USAinHKMacau. 
#HongKongProtests #USA #HKPoliceBrutality 
#HKHumanRightsandDemocracyAct 
source 城大編委 https://t.co/yMhWIsM5BN"
StarSuperfan42,nos  amis sont des rois nous devons les protéger envers et contre tous c'est notre devoir🌹🐕🦁🦂🦗🦄🐖🐂🐒🦊🦗🦃🦁🐶🐯🐴🦊🐄🐸🦉🐋🦎🐌🦋🐤🐻🐀🐇🐿🐘🐧🦔🐞🐝🐜,"Rhône-Alpes, France",3012,1956,35851,11/4/19 14:02,37,25863,We dressed as Winnie the Pooh in the New York Halloween Parade 🐻 #StandWithHongKong https://t.co/v5sLY5ffzU
freehkplzz,"Liberate Hong Kong, the revolution of our times. 
我願榮光歸香港🇭🇰
#FollowBackHongKong",Hong Kong,14,40,3136,4/7/12 5:47,442,1840,"Police Officers desecrate the memorial hall set up for the deceased and victims of police brutality next to Prince Edward Station.

#831PrinceEdward #StandWithHongKong #FightForFreedom https://t.co/7qRVrv9VRg"
MaryDD20,#followbackHongKong #hongkonger #SOSHK ⬇️timeline of #waterRevolution,,516,488,4440,8/5/19 12:00,1186,1200,"An American woman out partying on Halloween was tackled and arrested by the HK police.

We have lost not only our freedom to protest and march, but even the freedom to celebrate and have fun.

#HKPoliceState https://t.co/MfaviPnJnr"
FRHK20,,,84,157,9459,27/8/19 17:40,476,10143,An American woman was arrested when she was in Central. #HKPolice #HongKong #HKPoliceTerrorism #American #Holleween https://t.co/55rVK14ILi
wonw080,we want justice and freedom,,156,150,8510,16/9/19 13:55,29,149,"2019 Halloween: 
HK police aiming the GUN to arrested woman, just like EXECUTION,
In Central Lan Kwai Fong!

Can you tolerate that?
#hkpolicestate
#hkpoliceterroism
#hkpolicebrutality
#FreeHongKong
#FreedomHK
#FightForFreedom
#StandWithHongKong
#HappyHalloween https://t.co/LrAs8uSBLd"
irenelui,不是因為有希望才堅持 是因為堅持了才有希望 💪🏻💪🏻五大訴求，缺一不可✋🏻✋🏻香港人，反抗！ 🇭🇰 新手文宣請求手足互科🙏🏻🙇🏻‍♂️🙇🏻‍♂️ #followbackhongkong,Hong Kong,246,180,405,23/4/09 6:46,0,687,"Well seems a good signal. But remember in order to solve the root cause, 5 Demands Not One Less!!
Hongkonger will not gove up unless all achieved. 
#FiveDemandsNotOneLess #FightForFreedom #StandWithHongKong #AntiChinazi #followbackhongkong https://t.co/7sHYwZ1OD1"
