username,acctdesc,location,following,followers,totaltweets,timestamp,retweetcount,favcount,text
WingLuk1,,,10,0,62,2019-09-21 07:29:51,1479,31,Police usher people arrested at Southorn Playground in Wan Chai onto a coach. Onlookers tell them to look at the camera and shout out their names. #HongKong #HongKongProtests #antiELAB https://t.co/X4hvT5z2aT
Yoyoguy16,"A Hong Kong Citizen
#五大訴求缺一不可
#光復香港時代革命",,67,47,1690,2019-07-22 06:34:21,39,2156,"Unlike other brand, #MadeInChina Tear Gas grenade actually BURST INTO FLAMES🔥 

With #HKPolice constantly firing at point-blank range, this is definitely a *lethal weapon* used by #HKPoliceTerrorists!

State-supported #HKPoliceTerrorism 
#HongKongProtests
https://t.co/zIsa94pd2X"
Joeko7Koko,,,84,3,36,2012-05-31 19:48:47,1,18,"HKP shooted TG near a fire engine. A fireman was hurt and complain the HKP.  
HKP threaten the fireman and shoot pepper spread to a press who report the truth.
HKP had manipulated there power and  ignoring the law and rules.
#HKprotests 
#StandWithHongKong
#CCPEinsatzgruppen https://t.co/LmA5vNhzoA"
jammmcc,🇭🇰HongKonger.,,462,303,5510,2019-08-30 15:33:55,451,2690,"#HongKongPolice wants to kill the Hong Kong reporters.
#HongKong #HongKongPoliceState #hongkongpolicebrutality #StandwithHonKong #FreeHongKong https://t.co/quz4H3JT92"
luluh8,kangen Bapakkuuuuuuuuuu,,1238,536,8208,2009-11-02 04:40:05,3,2910,"Police pepper-sprayed and arrested several pro-democracy candidates of the upcoming district council election who gathered at Victoria Park this afternoon.

Photo / Chau Ho Man, Viola Kam@ USP United Social Press; 881 On A Clear Day; Stand News

#HKPoliceState #StandwithHongKong https://t.co/irSlmR9vbY"
princessyanny,,,535,338,19175,2010-05-13 03:33:11,448,7298,Black-clad protesters spilling into streets of Causeway Bay. They’re supposed to use “environmentally friendly” ways to head to two authorized rallies in Central. #hongkongprotests #antiELAB #prodemocracy #HK https://t.co/3dpyLeF0j2
Cecilia71159508,,,20,3,101,2019-03-08 07:35:41,656,123,"I hope this lady could finally get help from the #US Consulate #HongKong.

When she screamed she’s an American, police stumbled, apparently they knew there will be legal consequences of what they’re doing, but they do that to their own kind.

#PoliceState

https://t.co/N6qqhZGuC5"
ymmhyyyyyy,New to Twitter. Please support HKers to fight for freedom!,,130,112,766,2019-10-14 16:20:51,99,1757,"#HongKong riot police crazily fired tear gas today and a tear gas outside SOGO CWB was on fire.

Riot police are now using #MadeInChina tear gas and directly fire them on human body! They may kill citizens with tear gas one day like the riot police in #Iraq.

#HKPoliceBrutality https://t.co/D6GVj4LbqR"
yellotrash1,中文/ENG/한국어 조금만 #emergencyregulationsordinance #FIVEDEMANDSNOTONELESS #홍콩시위 #지앞영  still a personal account!,,852,526,1001,2019-10-04 09:34:10,0,883,“The greatness of a nation can be judged by the way its animals are treated.” - Gandhi. #HongKongPoliceState #AnimalRights #StandWithHongKong https://t.co/NCCZKBy6w4
NicholasChau7,#FollowBackHongKong,,78,17,1008,2019-04-24 05:15:38,106,1033,"112 1950
#HKPolice suddenly dragged a man in white shirt who just walked out from MTR Station, pushed and kicked him and sprayed the woman in blue shirt with no reason. 

#hkpolicestate #HKPoliceBrutality 

From: City Broadcasting Channel
https://t.co/bQLuIeFTXA https://t.co/f9DZlCOVdq"
monsterkacakaca,,,43,1,39,2019-10-04 15:33:57,4912,63,"Man driving by in a Porsche was pulled out of his car and arrested by a dozen riot police, only for playing “Glory to Hong Kong” in his car.

Kid was asking the woman shooting the video : “Why was he arrested only for playing a song?”

#HKPoliceState 
#StandWithHongKong https://t.co/qn4whKuacW"
tonyyipmoonlam,,,1,0,393,2015-01-29 10:26:59,1136,392,"#BREAKING: Dubbed as the #AirportUncle standing between #Police and #Protesters in the Int. Airport in Aug, Richard Chan running for upcoming Nov #TaiPo District Council Election is under arrest. Over hundreds of candidates gathered in Victoria Park this afo. #HongKongProtests https://t.co/v2d6YDyR4B"
JoJo53859628,HKers,,730,302,5769,2019-10-02 05:01:05,181,5058,"A fireman complained to the #HongKongPolice for the unnecessary firing of Tear Gas that landed on the fire engine. Fireman was affected by the TG as well.

A few police had lost their cool; confronted, ”we are dispersing crowd” and pushed the fireman away. 
#hkpolicestate https://t.co/AAGFkuzmxL"
Tsewingsue,hongkonger,Hong Kong,69,12,85,2014-01-09 02:47:44,30,26,@joshuawongcf #HongKong police have gone so far. They follow the order of #China to suppress Hong Kong citizens. They are the #HongKongRioters #hkriots. https://t.co/mIDvkKWahG
MKANDY8,"🇭🇰HKG🇭🇰
💁💁💁很介意。無頭像。推特推文無立場空白者表態者。不關注不互粉不用來訪🙅🙅🙅尤其是共慘黨11億相關直系族
群⚰⚰⚰👽嚴禁鬼國G那猿恥人TG毛妖系列族群糞子👻冒頭必拉黑👹👿👺⚰⚰⚰",,3317,1116,12207,2019-07-22 18:56:43,125,6635,"11.2 #StandWithHongKong rally kicked off in Auckland, New Zealand. Looks like pro-Beijing camp lacks funding this round and can only afford tiny 🇨🇳 flags!! 

#HongKongers, be united and be safe today! #Vancouverites - it’s our turn to support #HongKong tomorrow!! Cya soon https://t.co/MHRtRKvzFf"
Feyu40611575,Stand with HK !,,5,0,37,2019-10-15 13:21:03,608,29,"People are “meeting candidates” for the upcoming local elections, meaning they can gather without police approval. In the coming hours protestors plan to march through the city and we’ll see how the mood in #HongKong changes. #China https://t.co/AAnoScXtUg"
mat230821,,,418,35,2061,2013-09-02 15:00:03,110,724,"Omg.. Looks like a.. concentration camp..

#HongKong #ResistBeijing #LiberateHongKong #HKPoliceTerrorism 
 https://t.co/IkatW44mmt"
KarHin13,"Hi all, I am Alex from Hong Kong",,23,1,331,2019-09-04 15:03:42,1678,360,"Riot police arrived in police car and charged into Southorn Playground, randomly tackled a young girl to the ground.

A few dozen citizens were also charged upon and detained behind the gates for no reason.

Insanity.

#HKPoliceState 
#StandWithHongKong 

Source : @StandNewsHK https://t.co/I66qYzDEAL"
RKhk59871001,"From Hong Kong/Acg lover/Basketball

#FollowBackHongKong
#StandWithHongKng",Hong Kong,302,224,1445,2019-10-01 23:42:57,1260,4455,Exercising freedom of assembly has become increasingly difficult as police in HK holds tighter grip in recent months. Yet we’re not giving up our constitutional rights.  #StandWithHK https://t.co/07Ln09SRyr
kogepannonukes,"No nukes,No TPP,No Pasaran,Stand Against Racism. Ski&Snowboard(雪が溶ければタダの暇人w)　TwitNoNukes大阪窓際族（アルコール担当）　ニート崩れダメリーマン　ネトウヨ崩れヘタレウヨ",豊葦原瑞穂国　大飯100km圏内orz,1884,1323,124361,2012-05-30 14:50:02,75,5604,"#LIVE: Tear gas, pepper spray and body searches. Hong Kong has entered its 22nd straight weekend of protests. Follow us live here https://t.co/1oQmo8GYKh #HongKongProtests"
Taz70268738,Peaceful Maker,,8,1,31,2019-11-02 13:26:34,1,0,"The hk police are geting more crazy.
#PoliceBrutality 
#StandWithHongKong 
#Standwithfirefighter https://t.co/wyTOkkk66E"
padTohka,"hk ppl be water, please follow and retweet, spread news to the world #FollowBackHongKong",,1220,156,2348,2014-04-01 12:29:33,241,5168,"Nottingham is a city of rebellion. Think of Robin Hood, the Luddites, labour activists and unionised workers. We have a long history of struggling for liberty and justice. Please join us today and #StandWithHongKong in the fight against the Chinese Communist Party’s #autocracy https://t.co/hC4ph4RdHT"
Melissa00763340,HKer. Cat lover. #StandwithHK #followbackhk,,294,68,94,2019-10-04 15:59:43,0,162,"#HKPolice are in deed enjoying the hunting. They need not to bear responsibility for their action as they are backed by the #hkgovt and #CCPChina. They laugh as they shoot, and they even take selfie after the hunting.
#HongKongProstests #StandWithHongKong #HKPoliceTerrorism https://t.co/g9dfjlmEpS https://t.co/LmIjW8yOs2"
leigheavens,U may say I’m a dreamer but I’m not the only one #StandWithHK➡️https://t.co/WzqqzGYkAB➡️https://t.co/HC92VkfSYW➡️https://t.co/dE8aAO4ck8⬇️➡️https://t.co/bL6SaD2a5w,,980,600,3837,2019-08-17 04:18:30,68,4499,"Democratic candidates of district council elections was attacked and arrested by hkpolice , who were certainly without any intension and tools to attack hkp.

#HKPoliceTerrorism #HKPoliceState https://t.co/Brj3q7fclQ"
HVwWHuCz0KYjA3h,期待2020年新中国的诞生,,536,239,2080,2019-06-01 04:12:58,92,2192,"Arrestees ALL GIRLS. 
Hard to believe they're not caught to serve the cops/PLAs in #HK especially when that's happening in #Xinjiang, and there're so many sexual abuse/ra_e allegations against #hkpolice.

#HongKongProtests
#HKPoliceState
#HKPoliceTerrorism 
@SolomonYue @HawleyMO https://t.co/2wX803P3lH"
GoldenR46797973,,,48,28,240,2019-06-22 10:40:54,0,311,"Hong Kong is now a police state under facist rule.
(Ppl suspect that police now arrest without reasonable grounds of charge, in order to deter protests: police might detain arrestees up to 48 hours and abuse.)

#FreeHongKong
#HongKongProtests 
#HKPoliceTerrorists 
#HKPoliceState https://t.co/Hggx45zh9G"
irenechan852,#LiberateHongKong #theRevolutionofOurTimes #FreeHongKong #DemocracyNow #StandwithHongKong #FightforFreedom #FollowbackHongKong #科勞手足,Hong Kong,370,186,441,2016-05-25 12:37:46,30,1047,"Just a few moments before tear gas and water cannons were deployed on unarmed civilians, flags from all across the world waved in #HongKong with the #StarSpangledBanner playing in the background, in a bid to call out for global support #FightForFreedom #StandWithHongKong https://t.co/qejOCczYVe"
shizeio,"香港人です。日本語を勉強してるので、変な日本語すみません。Hong Kong is not China, not yet.",Hong Kong,209,66,2710,2012-02-20 13:27:04,5,5698,The Police shooting at #HongKongProtesters at super close range as if they’re live targets in war. #SOSHK #HKPoliceTerrorism #StandwithHK https://t.co/cKbvxR2MVB
silverkiwi,#科勞手足 #followbackhongkong,,193,93,374,2019-10-01 06:20:05,142,456,"The police beat the firefighter, Fuck off🤬🤬🤬🤬🤬
#HKPoliceState #HKPoliceTerrorism #hkPoliceBrutalitiy #HKHumanRightsandDemocracyAct https://t.co/xc31JU3iyG"
eprobin,Never forget. Never forgive. Be water. Be Persistent,,530,343,1925,2009-07-13 15:30:38,616,1360,"Senator Hawley: ""We are in for a long struggle with China to defend our economy and our people. We’ve surrendered too much ground already. Now is the time to take a stand, by standing with Hong Kong."" #StandWithHongKong"
9mi08886626,"人稱9MI
·
不折不扣社畜一名 ·
混合究極級死港女與毒L之奇行種
·
OT以外既日常窮得只剩下吃喝玩樂 ·
經常獨自行街食飯睇戲 · 偶然沉迷動漫日劇
·
以9噏mode分享毫無內涵生活",,3,1,211,2019-07-02 17:09:55,466,185,"People beginning to assemble for a rally to support #HongKongProtests in Sydney, front of State Library. 

Bonnie Leung, @chrf_hk, being interviewed in the front by @SBSNews @AustraliaHong https://t.co/UjR6Giz8M7"
Sparkle09031869,Stand with Hong Kong,,21,1,77,2019-10-15 23:13:14,4913,26,"Man driving by in a Porsche was pulled out of his car and arrested by a dozen riot police, only for playing “Glory to Hong Kong” in his car.

Kid was asking the woman shooting the video : “Why was he arrested only for playing a song?”

#HKPoliceState 
#StandWithHongKong https://t.co/qn4whKuacW"
clyon92,,,56,7,402,2019-10-12 09:13:25,1168,419,"Police have fired multiple rounds of tear gas into Victoria Park, where hundreds, if not thousand of people were gathering peacefully to support the ongoing pro-democracy movement. #HongKong https://t.co/YgAxoQnRSy"
Cison72969709,"top,170/61想乜可以pm
游水 單車 行山 影相",Hk,1108,1101,537,2018-12-31 02:35:59,1373,5228,"Is heart broken with this little girl, when we will stop the lives like that😭😭
Source from FB
#HKPoliceState #HKPoliceBrutality #HKPoliceTerrorism #HKHumanRightsandDemocracyAct https://t.co/iQKDbPtZsb"
winniethepoohzi,,,2214,567,29845,2017-04-23 14:05:34,17,54716,"Marching down Castlereagh street past the Prada store, feels a little like a march in TST at this point #HongKongProtests https://t.co/T09pOtw8h5"
j_d_evans,,,31,15,498,2009-11-22 15:19:24,460,118,"[1650] #HongKongPolice Water cannon truck just sprayed water in Causeway Bay, #HongKong 

To recap, today's protest was officially approved by #HongKongPolice and is 100% legal.

#HongKongProtests https://t.co/d27JS3e6hz"
RKhk59871001,"From Hong Kong/Acg lover/Basketball

#FollowBackHongKong
#StandWithHongKng",Hong Kong,302,224,1445,2019-10-01 23:42:57,128,4455,A first aider has suffered a serious injury to his back after apparently being hit by a police tear gas canister in Causeway Bay. #HongKong https://t.co/jFjXbNKlwQ
7c62501144,,Hong Kong,0,0,92,2019-10-27 02:54:17,103,12,"11.2 Protest: People are leaving, and the #HongKongPolice shot like they are playing video games. #HKPoliceTerrorism #HKPoliceState #antichinazi #StandWithHongKong https://t.co/Kfxwfz9QPH"
daviddcshk,,Hong Kong,74,68,5234,2010-05-31 01:30:49,16,6679,Confrontation between the two disciplined service teams in #hongkong. #hongkongpolice and fireman. Will Deputy Director of Fire Services Joseph Leung Wai Hung condem #hkpolice as cockroaches since they confronted his colleague? #hk #civilservants https://t.co/KZchOsUDWa
Ling57153468,,,271,88,2444,2019-08-15 14:51:43,122,2383,Now on the move through #Sydney CBD #HongKongProtests https://t.co/qADLTUOogv
waicheung12,from Hong Kong,Hong Kong,16,0,33,2019-06-18 15:58:34,878,6,"Not even one hour into today’s assemblies, and police is already firing teargas on Hennesy road, near Times Square.

Young protester once again extinguishing the pellets in swift movements, this time with a Thermos.😎

#HKPoliceState 
#StandwithHK 

Live Source : @StandNewsHK https://t.co/UF2VsxPHsq"
hkdemonow,"Multilingual updates on Hong Kong's ongoing democratic movements. We want our voices to be heard.  光復香港 時代革命
Twilog: http://t.co/YicKaWNKTX",Hong Kong,1993,16713,104712,2014-09-27 22:15:42,6,144,Another evidence of China made tear  gas canister melted into the ground. Inflamed / high heat n toxic... #hkPoliceBrutalitiy #antichinazi #HKPoliceState https://t.co/DtD0kg2F3j
JoJo53859628,HKers,,730,302,5769,2019-10-02 05:01:05,415,5058,"A fireman argued with #HongKongPolice because the police shot tear gas at the fire engine.

The police responded ""what the f**k did you say"", shoved the fireman into a wall, &amp; drove journalists at the scene away by pepper spraying them.

#HongKong
#HongKongProtests https://t.co/2yCPSro7oP"
jammmcc,🇭🇰HongKonger.,,462,303,5510,2019-08-30 15:33:55,461,2690,"HK police Chinazi??
Why would this happen in 2019 HK..

Its crazy ridiculous... speechless.. 

@SolomonYue @HawleyMO @SenRubioPress 

#chinazi #nazi #antichinazi #CPP #PoliceState #HKPoliceTerrorism #HKPoliceBrutality #FreeHK #HKprotests #甴近平 https://t.co/EN4CtcSXAW"
gloryee1,Hongkongers!!,,15,3,11,2019-10-07 11:33:54,451,3,"#HongKongPolice wants to kill the Hong Kong reporters.
#HongKong #HongKongPoliceState #hongkongpolicebrutality #StandwithHonKong #FreeHongKong https://t.co/quz4H3JT92"
Zoe23605051,,,87,25,854,2019-10-06 02:10:54,92,297,"Arrestees ALL GIRLS. 
Hard to believe they're not caught to serve the cops/PLAs in #HK especially when that's happening in #Xinjiang, and there're so many sexual abuse/ra_e allegations against #hkpolice.

#HongKongProtests
#HKPoliceState
#HKPoliceTerrorism 
@SolomonYue @HawleyMO https://t.co/2wX803P3lH"
sang19942002,,,0,0,133,2014-05-21 12:25:29,608,83,"People are “meeting candidates” for the upcoming local elections, meaning they can gather without police approval. In the coming hours protestors plan to march through the city and we’ll see how the mood in #HongKong changes. #China https://t.co/AAnoScXtUg"
Ling57153468,,,271,88,2444,2019-08-15 14:51:43,36,2383,"Now marching through Castlereagh Street #HongKongProtests @AustraliaHong. Substantial numbers. Regular chants of ""defend democracy"" &amp; ""5 demands not 1 less"". https://t.co/AjCUWL7Yj8"
07_sammyip,I need a world full of Justice rather than Peaceful. /2019 HongKong #Freedom #Democracy #HK,,362,210,1052,2011-08-18 15:56:49,0,9520,"Wt the fuck this is not Tear gas anymore 😱😱🤯🤯🤯
#MadeInChina #China #Teargas #HKpolice #PoliceState #HongKong #HK #PoliceBrutalityHK #香港デモ 
#香港 #香港暴乱 https://t.co/H7GntApJtE"
kywong619,❤️Hong Kong Citizen ❤️願榮光歸香港❤️ Love freedom and Democracy ❤️#FightForFreedom #StandWithHongKong #FiveDemandsNotOneLess,,482,765,296,2009-07-13 10:40:17,4913,214,"Man driving by in a Porsche was pulled out of his car and arrested by a dozen riot police, only for playing “Glory to Hong Kong” in his car.

Kid was asking the woman shooting the video : “Why was he arrested only for playing a song?”

#HKPoliceState 
#StandWithHongKong https://t.co/qn4whKuacW"
Toki46648673,,,48,21,1160,2019-09-04 15:19:49,1479,1182,Police usher people arrested at Southorn Playground in Wan Chai onto a coach. Onlookers tell them to look at the camera and shout out their names. #HongKong #HongKongProtests #antiELAB https://t.co/X4hvT5z2aT
HKfreedom190831,"#StandwithHongKong
#FightforFreedom",hongkong,358,541,839,2013-11-22 15:04:19,41,1069,"A peaceful rally which saw families doing paper-folding artwork at Edinburgh Place in #HongKong was suspended suddenly by the police despite no-objection letter having been granted. They're fueling #HongKongProtests every day.
https://t.co/X2IDHtURz7"
irenechan852,#LiberateHongKong #theRevolutionofOurTimes #FreeHongKong #DemocracyNow #StandwithHongKong #FightforFreedom #FollowbackHongKong #科勞手足,Hong Kong,370,186,442,2016-05-25 12:37:46,44,1048,"More than an hour later, around 30-40 people are still being held in the corridor beside Southorn Playground. A young man told me he was supposed to meet his girlfriend here to watch a boxing match. He's worried she might be being searched. #HongKongProtests #HongKongPolice https://t.co/Q5KyECcBuI"
7c62501144,,Hong Kong,0,0,92,2019-10-27 02:54:17,42,12,"#HongKongProtest — a #Fireman was assaulted by Riot Police after tear gas been fired at his #firetruck! 

#HongKongRioters = CCP State-supported #HKPolice 😡

#HongKong #HKPoliceTerrorism 
#ResistBeijing #LiberateHongKong https://t.co/95YgXsL5bR"
DanRDimicco,"A concerned American tweeting about the Economy, Job Creation, Global Trade, Manufacturing Resurgence, Washington, Myth Busting.","Charlotte, NC",874,4041,46006,2014-03-15 20:59:48,46,51850,"With every incident like this, the #HongKong police delegitimize themselves and the government. As correspondent @Michael_Yon has reported for weeks, the ranks of the youthful protestors, despite arrests, have been growing. https://t.co/wOQcgZRC6f"
ChowSinYan2,,香港,51,60,2688,2019-09-04 14:42:26,1479,2412,Police usher people arrested at Southorn Playground in Wan Chai onto a coach. Onlookers tell them to look at the camera and shout out their names. #HongKong #HongKongProtests #antiELAB https://t.co/X4hvT5z2aT
hongkon50043680,"Fight for freedom
Stand with HONG KONG",,23,4,431,2019-09-30 03:38:39,1516,469,"Even Victoria Park has been teargassed.

District Elections candidates holding campaigns inside the park have been pepper sprayed, with one candidate being arrested.

They r within their rights and police has no grounds in arresting or stopping their campaigns.

#hkpolicestate https://t.co/5HSa3GeIkr"
FloraLee_hkers,I won't be silenced. You can't keep me quiet. Won't tremble when you try it. All I know is I won't go speechless. 🇭🇰 光復香港 時代革命,香港,802,462,1792,2019-10-05 08:05:25,9,2332,"Time to practice my Cantonese.
好正!好正!
Make it clearly political.
#HongKongProtests #antichinazi 
#FreeHongKong #HongKongProtest https://t.co/mXs1n6RN2m"
TMMJpIULsVtqxYY,A HongKonger,,27,1,23,2019-10-19 05:46:52,1678,27,"Riot police arrived in police car and charged into Southorn Playground, randomly tackled a young girl to the ground.

A few dozen citizens were also charged upon and detained behind the gates for no reason.

Insanity.

#HKPoliceState 
#StandWithHongKong 

Source : @StandNewsHK https://t.co/I66qYzDEAL"
LaraYelo,"work hard, play hard!",,11,3,133,2019-10-24 15:48:25,1136,139,"#BREAKING: Dubbed as the #AirportUncle standing between #Police and #Protesters in the Int. Airport in Aug, Richard Chan running for upcoming Nov #TaiPo District Council Election is under arrest. Over hundreds of candidates gathered in Victoria Park this afo. #HongKongProtests https://t.co/v2d6YDyR4B"
DecemberC9,,,15,5,749,2019-09-04 13:53:38,415,688,"A fireman argued with #HongKongPolice because the police shot tear gas at the fire engine.

The police responded ""what the f**k did you say"", shoved the fireman into a wall, &amp; drove journalists at the scene away by pepper spraying them.

#HongKong
#HongKongProtests https://t.co/2yCPSro7oP"
RWong92225636,,,11,10,304,2019-09-05 00:37:46,8,0,"A gang of HK policemen was attempting to assault a fireman because the fireman complained that the fire truck was hit by a tear gas bomb.
The policemen are totally uncontrollable.
#HKPoliceTerrorism #HKPoliceState https://t.co/IYvCSzFcfZ"
Mandy0o0,Hongkonger🇭🇰,Hong Kong,614,400,4999,2019-08-17 07:36:23,794,7781,"Riot police arrested a number of pro-democracy District. Council candidates holding election rallies in Victoria Park.

Photo: USP. #hongkong https://t.co/kd0ZiDLpaK"
