username,acctdesc,location,following,followers,totaltweets,timestamp,retweetcount,favcount,text
Cherry12267316,"When a person points his/her finger at you, his/her four other fingers are pointing to themselves. #follobackhongkong#手足科勞#手足互科",,127,99,502,2019-08-21 23:50:19,431,322,We dressed as Winnie the Pooh in the New York Halloween Parade 🐻 #StandWithHongKong https://t.co/v5sLY5ffzU
ymmhyyyyyy,New to Twitter. Please support HKers to fight for freedom!,,130,112,766,2019-10-14 16:20:51,1168,1757,"Police have fired multiple rounds of tear gas into Victoria Park, where hundreds, if not thousand of people were gathering peacefully to support the ongoing pro-democracy movement. #HongKong https://t.co/YgAxoQnRSy"
Paula81975754,願榮光歸香港,,69,22,254,2019-09-28 13:44:34,75,250,This is crazy! The Porsche driver got brutally pulled out from his car just because he’s playing HK anthem #GloryToHongKong. #hkpolice accused him of assaulting and obstructing policer officer and arrested him! Isn’t it too ridiculous?🤬 #HKPoliceState #CCP #StandWithHongKong https://t.co/srW9H7HONt
hamzzidohyon,,,61,3,2571,2011-12-01 09:09:11,800,447,"A firefighter arguing with riot #police after they shot the firetruck. The officer pushed the firefighter and pepper sprayed the journalists
#HongKongRioters 
#PoliceBrutality #PoliceState #StandWithHongKong #FreeHongKong https://t.co/Sc8OKK7eSr"
FanRiven,"香港人
謹此而已。","屯門, 香港",28,0,406,2019-07-03 03:21:33,1674,425,"Riot police arrived in police car and charged into Southorn Playground, randomly tackled a young girl to the ground.

A few dozen citizens were also charged upon and detained behind the gates for no reason.

Insanity.

#HKPoliceState 
#StandWithHongKong 

Source : @StandNewsHK https://t.co/I66qYzDEAL"
RugiaPAD,"香港人ですから、少しだけ日本語を知っています。
間違い日本語を書いたら、すみません。",,730,414,2306,2013-03-25 10:48:44,181,2974,"A fireman complained to the #HongKongPolice for the unnecessary firing of Tear Gas that landed on the fire engine. Fireman was affected by the TG as well.

A few police had lost their cool; confronted, ”we are dispersing crowd” and pushed the fireman away. 
#hkpolicestate https://t.co/AAGFkuzmxL"
yan99921,"🇭🇰 🇭🇰 🇭🇰
🔥光復香港，時代革命
#followbackHK #手足互科 #手足科勞",Hong Kong,362,138,573,2015-03-14 13:26:33,106,589,"112 1950
#HKPolice suddenly dragged a man in white shirt who just walked out from MTR Station, pushed and kicked him and sprayed the woman in blue shirt with no reason. 

#hkpolicestate #HKPoliceBrutality 

From: City Broadcasting Channel
https://t.co/bQLuIeFTXA https://t.co/f9DZlCOVdq"
padTohka,"hk ppl be water, please follow and retweet, spread news to the world #FollowBackHongKong",,1220,156,2348,2014-04-01 12:29:33,213,5168,"NOTTINGHAM HUMAN CHAIN

2.11.19
Time: 1100 AM

Location: In front of the Brian Clough statue, King Street NG1 2AY

The city of Nottingham will join our fight against injustice around the world. 

Join us and #StandWithHK #FightForFreedom https://t.co/Asd1coJmTn"
Pam30427786,Pam Wong,,11,0,22,2019-10-20 16:45:57,1168,4,"Police have fired multiple rounds of tear gas into Victoria Park, where hundreds, if not thousand of people were gathering peacefully to support the ongoing pro-democracy movement. #HongKong https://t.co/YgAxoQnRSy"
7c62501144,,Hong Kong,0,0,91,2019-10-27 02:54:17,142,11,"The police beat the firefighter, Fuck off🤬🤬🤬🤬🤬
#HKPoliceState #HKPoliceTerrorism #hkPoliceBrutalitiy #HKHumanRightsandDemocracyAct https://t.co/xc31JU3iyG"
DauDing2009,"Fight for Freedom 💪
Stand with #HongKong",,393,377,8716,2019-07-29 06:12:30,131,11007,"We have come this far in our #Hongkongprotests, when you hear the news you may feel...

😠😡😠😡 Angry &amp; frustrated

😢😭😢😭 Sad &amp; depressed

😣😓😣😓 Helpless &amp; impotent

But please don't start to feel...

😑😒😑😒 Apathetic &amp; indifferent

We have a long way to walk, together💗 https://t.co/FluhPmGJmB"
Raymond80812829,🇭🇰to see what’a happening in HK👉 https://t.co/dAHvbwZ9Tj 光復香港 時代革命 香港人 反抗,,1751,887,6062,2019-08-31 18:04:34,1134,5744,"#BREAKING: Dubbed as the #AirportUncle standing between #Police and #Protesters in the Int. Airport in Aug, Richard Chan running for upcoming Nov #TaiPo District Council Election is under arrest. Over hundreds of candidates gathered in Victoria Park this afo. #HongKongProtests https://t.co/v2d6YDyR4B"
___Bamberg,"[Eng infographics at PinnedTweet, Feel free to use (Photos from AppleDaily, StandNews mainly)] Contemporary Art | Museums | Rape by Gov EVERYDAY |レッサーパンダDSK❤️",,1048,768,4587,2019-08-17 13:09:33,0,10432,"@SkyNews https://t.co/OzkLYPL36R
112 #HongKongProtests 
A firefighter arguing with riot #police after the firetruck being shot. The police officer pushed the firefighter and pepper sprayed the journalists right in the face."
winniethepoohzi,,,2214,567,29845,2017-04-23 14:05:34,588,54716,"Marching down Market street with shouts of ""5 demands, not 1 less"" #HongKongProtests https://t.co/629a8an689"
daviddcshk,,Hong Kong,74,68,5231,2010-05-31 01:30:49,189,6677,"HongKongers are facing humanitarian crisis, please #StandWithHongKong . Every day #PoliceBrutalityHK happen, protesters are suffering from different torture.Please help us.
#FightForFreedom #antichinazi #PoliceTerrorism #PoliceState https://t.co/EgsXxbV0Cb"
befreihk_jetzt,"Engineer; IT Dog; Water Revolution Chronicle: https://t.co/vdpO29M2PI
Möge der Ruhm Hongkong gehören",Hong Kong,725,122,791,2009-07-11 02:21:43,39,1128,"Unlike other brand, #MadeInChina Tear Gas grenade actually BURST INTO FLAMES🔥 

With #HKPolice constantly firing at point-blank range, this is definitely a *lethal weapon* used by #HKPoliceTerrorists!

State-supported #HKPoliceTerrorism 
#HongKongProtests
https://t.co/zIsa94pd2X"
Matthieu1221,,Hong Kong,735,133,12018,2014-10-20 02:32:20,113,10169,Police tackled with firefighter at Des Voeux Rd Central for he complained tear gas fired towards his lorry. Taiwan China Television Company filmed the fight and got pepper-sprayed &amp; chased by EU HKI T2 officer #antiELAB #AntiMaskLaw #HongKongProtests https://t.co/ZrvOI0IWrL
55yum99,,,36,7,460,2019-09-22 14:36:41,181,314,"A fireman complained to the #HongKongPolice for the unnecessary firing of Tear Gas that landed on the fire engine. Fireman was affected by the TG as well.

A few police had lost their cool; confronted, ”we are dispersing crowd” and pushed the fireman away. 
#hkpolicestate https://t.co/AAGFkuzmxL"
CharlieAzantys,The smallest of potatoes. And a pessimist.,,306,211,4539,2019-09-03 11:04:14,113,4215,Police tackled with firefighter at Des Voeux Rd Central for he complained tear gas fired towards his lorry. Taiwan China Television Company filmed the fight and got pepper-sprayed &amp; chased by EU HKI T2 officer #antiELAB #AntiMaskLaw #HongKongProtests https://t.co/ZrvOI0IWrL
yZ1r0NR5G75nT3M,地狱空荡荡 魔鬼在厉害国,,447,271,19301,2019-09-20 03:01:45,33,27593,"There’s no longer having any fair election in Hong Kong. Even you’re not disqualified, you’ll still get arrested because of holding an election gathering. @SolomonYue @HawleyMO @marcorubio #StandWithHongKong #FightForFreedom https://t.co/rsyxw9PHc0"
RugiaPAD,"香港人ですから、少しだけ日本語を知っています。
間違い日本語を書いたら、すみません。",,730,414,2306,2013-03-25 10:48:44,800,2974,"A firefighter arguing with riot #police after they shot the firetruck. The officer pushed the firefighter and pepper sprayed the journalists
#HongKongRioters 
#PoliceBrutality #PoliceState #StandWithHongKong #FreeHongKong https://t.co/Sc8OKK7eSr"
